Date,Predicted Price(EUR/MWh)
2018-01-01,25.12123989554743
2018-01-02,23.82742081998537
2018-01-03,28.10254985536138
2018-01-04,28.834775775379192
2018-01-05,26.950175675886374
2018-01-06,26.63624123654018
2018-01-07,24.640130291475604
2018-01-08,27.560778247180085
2018-01-09,27.997516044198225
2018-01-10,29.271595999492956
2018-01-11,29.64772385161991
2018-01-12,29.428606601847957
2018-01-13,29.4387191050003
2018-01-14,29.33061813822637
2018-01-15,30.16119693639378
2018-01-16,30.583752934696776
2018-01-17,31.10252304493139
2018-01-18,31.38956889803211
2018-01-19,31.529460694106916
2018-01-20,31.69826704767222
2018-01-21,31.883879852208
2018-01-22,32.24951777185003
2018-01-23,32.548615333984294
2018-01-24,32.846984067062536
2018-01-25,33.08239151389028
2018-01-26,33.27702791626255
2018-01-27,33.47114806472013
2018-01-28,33.67335474508504
2018-01-29,33.90795961229752
2018-01-30,34.129150554264584
2018-01-31,34.34271482075254
2018-02-01,34.53667879155527
2018-02-02,34.71673427453886
2018-02-03,34.89253825469564
2018-02-04,35.06805157088364
2018-02-05,35.246827264751
2018-02-06,35.42021049125741
2018-02-07,35.58788889509315
2018-02-08,35.747550179312626
2018-02-09,35.900665016832455
2018-02-10,36.04965849957119
2018-02-11,36.19584946105878
2018-02-12,36.33980187616001
2018-02-13,36.479893232571584
2018-02-14,36.615819851520165
2018-02-15,36.74716525925945
2018-02-16,36.87435460607211
2018-02-17,36.99804297045494
2018-02-18,37.11865984095881
2018-02-19,37.2363570569704
2018-02-20,37.35086564586187
2018-02-21,37.46212053361039
2018-02-22,37.57009135233859
2018-02-23,37.674955971042316
2018-02-24,37.77690527352194
2018-02-25,37.87611279050509
2018-02-26,37.97266094908739
2018-02-27,38.066545411000654
2018-02-28,38.1577965441222
2018-03-01,38.24645773113395
2018-03-02,38.3326200756679
2018-03-03,38.41637034308786
2018-03-04,38.49780397529403
2018-03-05,38.57698604630927
2018-03-06,38.65394692401092
2018-03-07,38.728751682421816
2018-03-08,38.801439365955694
2018-03-09,38.872083725171784
2018-03-10,38.94073248102019
2018-03-11,39.00744636925558
2018-03-12,39.07228612563262
2018-03-13,39.13529513283322
2018-03-14,39.19652545007567
2018-03-15,39.25601178350548
2018-03-16,39.313806192340955
2018-03-17,39.36996941233675
2018-03-18,39.42452747310202
2018-03-19,39.47753677212323
2018-03-20,39.52903635381411
2018-03-21,39.579069600856556
2018-03-22,39.62766254285972
2018-03-23,39.674871577310064
2018-03-24,39.72072707208495
2018-03-25,39.765272409866256
2018-03-26,39.80852494372676
2018-03-27,39.85054540942113
2018-03-28,39.8913598365585
2018-03-29,39.93099425474803
2018-03-30,39.96948337013523
2018-03-31,40.00686188886563
2018-04-01,40.04316885535295
2018-04-02,40.07841728440176
2018-04-03,40.11265055869396
2018-04-04,40.14589470783869
2018-04-05,40.178162746640545
2018-04-06,40.2095023960496
2018-04-07,40.23992667087043
2018-04-08,40.26947461551676
2018-04-09,40.29815924479316
2018-04-10,40.326006588308765
2018-04-11,40.353038337404534
2018-04-12,40.3792848599578
2018-04-13,40.404763509041324
2018-04-14,40.42950031426425
2018-04-15,40.45351262869934
2018-04-16,40.47682648195575
2018-04-17,40.49945055056985
2018-04-18,40.52141086415077
2018-04-19,40.54273779057587
2018-04-20,40.563426991576954
2018-04-21,40.58351317329953
2018-04-22,40.60300501228
2018-04-23,40.62193287639568
2018-04-24,40.64029676564659
2018-04-25,40.65812270964186
2018-04-26,40.67542372318606
2018-04-27,40.69220848281557
2018-04-28,40.70850735640774
2018-04-29,40.72431600569437
2018-04-30,40.739664798552795
2018-05-01,40.7545580732512
2018-05-02,40.76901318286235
2018-05-03,40.78304314219083
2018-05-04,40.796652289504806
2018-05-05,40.80986231614525
2018-05-06,40.82267322211216
2018-05-07,40.83511103701468
2018-05-08,40.847184437389174
2018-05-09,40.858902099772045
2018-05-10,40.87026185502919
2018-05-11,40.88129190190385
2018-05-12,40.89199007126192
2018-05-13,40.902367208773896
2018-05-14,40.91244500578071
2018-05-15,40.922219124014184
2018-05-16,40.93170257827888
2018-05-17,40.94090838337938
2018-05-18,40.94983653931568
2018-05-19,40.95849789175826
2018-05-20,40.966905455511686
2018-05-21,40.97505923057596
2018-05-22,40.98297440088975
2018-05-23,40.99064879731896
2018-05-24,40.998095434668166
2018-05-25,41.00532298947374
2018-05-26,41.01233363086979
2018-05-27,41.019136035392684
2018-05-28,41.02573237217653
2018-05-29,41.03213782515998
2018-05-30,41.03834588694076
2018-05-31,41.04437391059163
2018-06-01,41.05021972697849
2018-06-02,41.055887674369544
2018-06-03,41.06139510583753
2018-06-04,41.066731175712
2018-06-05,41.0719110679316
2018-06-06,41.076930444228154
2018-06-07,41.08180665767441
2018-06-08,41.08653970827038
2018-06-09,41.09112308861378
2018-06-10,41.09557198264326
2018-06-11,41.099890728627024
2018-06-12,41.10407498829688
2018-06-13,41.108133438189206
2018-06-14,41.112079093108576
2018-06-15,41.11590544565271
2018-06-16,41.1196103266875
2018-06-17,41.12321108928571
2018-06-18,41.12669905691097
2018-06-19,41.13008724436785
2018-06-20,41.13336697511996
2018-06-21,41.136555602240065
2018-06-22,41.13964228005769
2018-06-23,41.14264002337742
2018-06-24,41.145553170467416
2018-06-25,41.14837304479132
2018-06-26,41.151110492019605
2018-06-27,41.15376117388408
2018-06-28,41.15633593605521
2018-06-29,41.158832609398914
2018-06-30,41.161255532183375
2018-07-01,41.1636047044086
2018-07-02,41.165886633476866
2018-07-03,41.16810348852227
2018-07-04,41.170244423874344
2018-07-05,41.172324623471745
2018-07-06,41.17433974904629
2018-07-07,41.17629630800026
2018-07-08,41.17819863860185
2018-07-09,41.18004240258286
2018-07-10,41.18182543080921
2018-07-11,41.18356507635365
2018-07-12,41.18524181700933
2018-07-13,41.1868708367149
2018-07-14,41.188454304604484
2018-07-15,41.189987882409866
2018-07-16,41.191473739265156
2018-07-17,41.192918382572635
2018-07-18,41.19432615060049
2018-07-19,41.19568185941006
2018-07-20,41.19699635467182
2018-07-21,41.19828048205624
2018-07-22,41.19951471935647
2018-07-23,41.20071425051118
2018-07-24,41.20188124465446
2018-07-25,41.2030178709204
2018-07-26,41.204113283638534
2018-07-27,41.205173990211144
2018-07-28,41.2062108363087
2018-07-29,41.207210807126636
2018-07-30,41.208178240933144
2018-07-31,41.209121814264606
2018-08-01,41.21003718885283
2018-08-02,41.21091785729553
2018-08-03,41.21178117266546
2018-08-04,41.21261845842625
2018-08-05,41.21342971457789
2018-08-06,41.214212771986304
2018-08-07,41.214976307187854
2018-08-08,41.21571164364616
2018-08-09,41.21642962703171
2018-08-10,41.21712374994221
2018-08-11,41.21779835064585
2018-08-12,41.218449090874444
2018-08-13,41.21908247803027
2018-08-14,41.21970285038154
2018-08-15,41.22029719312365
2018-08-16,41.220874182793004
2018-08-17,41.221438157657786
2018-08-18,41.221982610315706
2018-08-19,41.22251404816906
2018-08-20,41.22302596381555
2018-08-21,41.22352052638928
2018-08-22,41.22400207415844
2018-08-23,41.22446626885484
2018-08-24,41.22492612528304
2018-08-25,41.225364290370294
2018-08-26,41.22579160978707
2018-08-27,41.22620374526518
2018-08-28,41.226605035072815
2018-08-29,41.22699547920997
2018-08-30,41.227372908542556
2018-08-31,41.22773949220466
2018-09-01,41.2280930610622
2018-09-02,41.22844229165155
2018-09-03,41.228772000034034
2018-09-04,41.22909953928242
2018-09-05,41.22941189459215
2018-09-06,41.22971557336549
2018-09-07,41.23001491387065
2018-09-08,41.23030340870532
2018-09-09,41.23058105786952
2018-09-10,41.230850030497336
2018-09-11,41.23110815745468
2018-09-12,41.231361946143835
2018-09-13,41.231611396564794
2018-09-14,41.23185433958347
2018-09-15,41.23208426779757
2018-09-16,41.23230985774348
2018-09-17,41.23252894028711
2018-09-18,41.23273934629435
2018-09-19,41.23294324489932
2018-09-20,41.233142805236085
2018-09-21,41.23333802730466
2018-09-22,41.233524572836856
2018-09-23,41.23370461096677
2018-09-24,41.23388031082849
2018-09-25,41.23404950328792
2018-09-26,41.23421435747917
2018-09-27,41.23437487340222
2018-09-28,41.23453105105708
2018-09-29,41.23468289044376
2018-09-30,41.234830391562234
2018-10-01,41.23497138527843
2018-10-02,41.23511237899463
2018-10-03,41.23524252704034
2018-10-04,41.23537267508606
2018-10-05,41.23550065399768
2018-10-06,41.23562429464112
2018-10-07,41.23574142788227
2018-10-08,41.235854222855224
2018-10-09,41.23596701782818
2018-10-10,41.236071136264755
2018-10-11,41.23617742383542
2018-10-12,41.236277204003805
2018-10-13,41.23638132244038
2018-10-14,41.23647676434057
2018-10-15,41.23656786797258
2018-10-16,41.23665463333639
2018-10-17,41.2367435678343
2018-10-18,41.236828164064015
2018-10-19,41.23690842202554
2018-10-20,41.23698867998707
2018-10-21,41.2370689379486
2018-10-22,41.23714268850784
2018-10-23,41.237212100798885
2018-10-24,41.23728368222403
2018-10-25,41.23735960191737
2018-10-26,41.237424675940225
2018-10-27,41.23749408823128
2018-10-28,41.23754831658366
2018-10-29,41.23760905233833
2018-10-30,41.23766544982481
2018-10-31,41.23772835471357
2018-11-01,41.23778041393186
2018-11-02,41.23783464228424
2018-11-03,41.237888870636624
2018-11-04,41.237938760720816
2018-11-05,41.237982143402725
2018-11-06,41.23803637175511
2018-11-07,41.23808192357111
2018-11-08,41.23812747538711
2018-11-09,41.23817302720311
2018-11-10,41.23821640988501
2018-11-11,41.23825328516464
2018-11-12,41.23829016044426
2018-11-13,41.23832920485797
2018-11-14,41.238366080137595
2018-11-15,41.238400786283115
2018-11-16,41.238439830696834
2018-11-17,41.23847019857417
2018-11-18,41.23850490471969
2018-11-19,41.238530934328836
2018-11-20,41.23856564047436
2018-11-21,41.2385938392176
2018-11-22,41.23862420709494
2018-11-23,41.238654574972266
2018-11-24,41.23868277371551
2018-11-25,41.23870446505646
2018-11-26,41.23872615639741
2018-11-27,41.23875652427475
2018-11-28,41.238776046481604
2018-11-29,41.23880424522485
2018-11-30,41.238828105699895
2018-12-01,41.23884979704085
2018-12-02,41.2388714883818
2018-12-03,41.23889101058866
2018-12-04,41.238912701929614
2018-12-05,41.23893005500237
2018-12-06,41.238947408075134
2018-12-07,41.23897126855018
2018-12-08,41.23898645248885
2018-12-09,41.239003805561616
2018-12-10,41.23902332776847
2018-12-11,41.239038511707136
2018-12-12,41.23905152651171
2018-12-13,41.23906671045038
2018-12-14,41.239086232657236
2018-12-15,41.2391014165959
2018-12-16,41.23911226226638
2018-12-17,41.239125277070954
2018-12-18,41.23914046100962
2018-12-19,41.23915130668009
2018-12-20,41.239170828886955
2018-12-21,41.23917733628924
2018-12-22,41.23919035109381
2018-12-23,41.23920336589838
2018-12-24,41.239216380702956
2018-12-25,41.23922505723934
2018-12-26,41.23923373377572
2018-12-27,41.23924457944619
2018-12-28,41.23925542511667
2018-12-29,41.23926627078715
2018-12-30,41.23927277818943
2018-12-31,41.23928145472581
